trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.001, 'e': 0.8667540688954889}",20,0,-76.19104431045665,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
145,False,"{'a': 0.001, 'e': 0.865887748059205}",30,0,-148.7649577964687,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
146,False,"{'a': 0.001, 'e': 0.8650222931107413}",20,4,-30.886022319668275,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.001, 'e': 0.8641577031846428}",25,0,-150.14855090083395,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
148,False,"{'a': 0.001, 'e': 0.8632939774163194}",20,0,-137.93719134050312,"{0: 11, 1: 2, 2: 2, 3: 4, 4: 1}",0
149,False,"{'a': 0.001, 'e': 0.8624311149420455}",25,0,-201.22606432087102,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
150,False,"{'a': 0.001, 'e': 0.8615691148989583}",20,0,-107.73714703135758,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
151,False,"{'a': 0.001, 'e': 0.8607079764250578}",20,12,-22.834631466847405,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
152,False,"{'a': 0.001, 'e': 0.8598476986592055}",25,0,-80.51534891756707,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
153,False,"{'a': 0.001, 'e': 0.8589882807411234}",20,5,-96.40539672776916,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
154,False,"{'a': 0.001, 'e': 0.8581297218113938}",25,0,-199.88186717652331,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
155,False,"{'a': 0.001, 'e': 0.8572720210114575}",25,0,-78.69671414814766,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
156,False,"{'a': 0.001, 'e': 0.8564151774836135}",25,0,-188.95716626603374,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
157,False,"{'a': 0.001, 'e': 0.8555591903710185}",20,0,-135.07811667529984,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
158,False,"{'a': 0.001, 'e': 0.8547040588176851}",20,0,-25.052196471966052,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
